Story #	Character Name	Sound	Sr No	Day	Charachter	Character Emotion	Dialogs & Requirments	Sprite																	
Story 12	Ramu	Light Background Music 3	53a	Day 5a	Raju	Raju Serious	"Because I see how worried you get, bhaiya. I'd rather earn your trust gradually than lose it by being reckless. Cricket will wait if it means keeping your support."	RajuSerious																	
Story 12	Ramu	Light Background Music 3	54a	Day 5a	Ramu	Ramu Smiling	"Your maturity surprises me sometimes. Most kids wouldn't even notice their brother's fears, let alone want to address them."	RamuSmiling																	
Story 12	Ramu	Light Background Music 3	55a	Day 5a	Raju	Raju Serious	Every morning I choose to practice with you because I value what we're building together. I don't want to rush that or risk damaging it.	RajuSerious																	
Story 12	Ramu	Light Background Music 3	56a	Day 5a	Ramu	Ramu Smiling	Your patience and understanding are showing me something important - that maybe your cricket dreams come with the wisdom to pursue them safely.	RamuSmiling																	
Story 12	Ramu	Light Background Music 3	56a.1	Day 5a	No character - Dialog Setup	Not Applicable	"As Raju demonstrates emotional maturity by prioritizing his brother's concerns over immediate cricket opportunities, their relationship evolves from protective oversight to genuine partnership based on mutual respect and understanding. The willingness to proceed cautiously rather than aggressively pursuing recognition reflects wisdom beyond his years, while Ramu's surprise and growing trust suggest that his brother's approach to balancing ambition with responsibility might indeed justify supporting the cricket dreams that initially seemed too risky for their family's circumstances."	Koliwada Ground																	
Story 12	Ramu	Light Background Music 3	51b	Day 5b	Raju	Raju Excited	"I'll prove my commitment is unbreakable, bhaiya. Watch me work harder than anyone else. Nothing will stop me from showing you this dream is real."	RajuExcited																	
Story 12	Ramu	Light Background Music 3	52b	Day 5b	Ramu	Ramu Serious	"Hard work without direction can be dangerous, beta. What if your determination leads you to take risks you're not ready for?"	RamuSerious																	
Story 12	Ramu	Light Background Music 3	53b	Day 5b	Raju	Raju Excited	"Then I'll learn to be ready faster! I'll practice until my hands blister, run until my legs shake, face any challenge that proves I deserve this chance."	RajuExcited																	
Story 12	Ramu	Light Background Music 3	54b	Day 5b	Ramu	Ramu Serious	"Your passion is remarkable, but passion without wisdom can destroy what it's trying to build. How do I know you won't burn yourself out?"	RamuSerious																	
Story 12	Ramu	Light Background Music 3	55b	Day 5b	Raju	Raju Excited	"Because this fire inside me gets stronger with challenge, not weaker. Every hard practice, every difficult drill just proves how much I want this."	RajuExcited																	
Story 12	Ramu	Light Background Music 3	56b	Day 5b	Ramu	Ramu Smiling	Your intensity is unlike anything I've seen in boys your age. Maybe that kind of determination really can overcome obstacles I thought were impossible.	RamuSmiling																	
Story 12	Ramu	Light Background Music 3	56b.1	Day 5b	No character - Dialog Setup	Not Applicable	"As Raju's passionate commitment to cricket training intensifies despite his brother's concerns about sustainable pace and realistic limits, Ramu begins to recognize that this level of dedication might indeed represent something extraordinary that transcends typical childhood enthusiasm. The young boy's willingness to embrace physical discomfort and mental challenges while maintaining enthusiasm suggests a temperament suited for the demanding realities of competitive sports, while his articulate defense of his commitment demonstrates both emotional intelligence and genuine understanding of what serious athletic pursuit requires."	Koliwada Ground																	
Story 12	Ramu	Light Background Music 3	51c	Day 5c	Raju	Raju Serious	"Let me show you I can balance cricket dreams with responsibility, bhaiya. I'll be smart about this - prove that pursuing cricket makes me more mature, not less."	RajuSerious																	
Story 12	Ramu	Light Background Music 3	52c	Day 5c	Ramu	Ramu Quizzical	Balance? Most dreamers I know become so obsessed they ignore everything else. How would you stay responsible while chasing cricket?	RamuQuizzical																	
Story 12	Ramu	Light Background Music 3	53c	Day 5c	Raju	Raju Serious	"By using cricket discipline to improve everything else - studies, helping at home, being a better son and brother. Let cricket training make me stronger in all areas of life."	RajuSerious																	
Story 12	Ramu	Light Background Music 3	54c	Day 5c	Ramu	Ramu Smiling	"That's... that's actually sophisticated thinking. Most kids see cricket and responsibility as competing forces, but you're talking about integration."	RamuSmiling																	
Story 12	Ramu	Light Background Music 3	55c	Day 5c	Raju	Raju Serious	"Cricket teaches focus, dedication, handling pressure - all skills that help with everything else. I want to prove that pursuing dreams responsibly makes you a better person overall."	RajuSerious																	
Story 12	Ramu	Light Background Music 3	56c	Day 5c	Ramu	Ramu Smiling	Your strategic approach shows wisdom I didn't expect. Maybe you really can handle big dreams without losing sight of what matters most.	RamuSmiling																	
Story 12	Ramu	Light Background Music 3	56c.1	Day 5c	No character - Dialog Setup	Not Applicable	"As Raju articulates a sophisticated understanding of how athletic discipline can enhance rather than compromise other responsibilities, Ramu discovers that his brother possesses not just talent but the kind of strategic thinking that could make cricket dreams sustainable and beneficial rather than destructive. The integration of sport with broader life skills represents a mature approach that addresses many of the concerns that initially made supporting cricket ambitions seem irresponsible, while demonstrating intellectual development that complements rather than conflicts with athletic potential."	Koliwada Ground																	
Story 12	Ramu	Light Background Music 3	57	Day 5	Ramu	Ramu Serious	Then I'll have to learn to hope instead of fear. And that might be the hardest thing I've ever done.	RamuSerious																	
Story 12	Ramu	Light Background Music 3	58	Day 5	Raju	Raju Excited	"I won't let you down, bhaiya. I won't let the dream break me. I'll work harder than anyone."	RajuExcited																	
Story 12	Ramu	Light Background Music 3	59	Day 5	Ramu	Ramu Serious	I know you will. That's exactly what scares me. And what gives me hope.	RamuSerious																	
Story 12	Ramu	Light Background Music 3	59.1	Day 5	No character - Dialog Setup	Not Applicable	"As both brothers acknowledge the emotional complexity of pursuing dreams that carry both tremendous potential and significant risk, their relationship reaches a new level of honesty and mutual understanding that strengthens their partnership while recognizing the real challenges ahead. Ramu's admission that hope might be more frightening than fear reflects the psychological difficulty of supporting ambitions that could lead to either remarkable success or devastating disappointment, while Raju's commitment to proving worthy of that hope creates accountability that could drive exceptional dedication to training and development."	Koliwada Ground																	
Story 12	Ramu	Light Background Music 3	60	Day 6	No character - Dialog Setup	Not Applicable	"The sky is still dark when Ramu wakes his brother, his face more serious than usual. Yesterday's conversation has forced him to confront a crucial question about whether Raju is prepared for serious cricket training."	Not Applicable																	
Story 12	Ramu	Light Background Music 3	60.1	Day 6	No character - Dialog Setup	Not Applicable	"The pre-dawn darkness envelops their small home as Ramu deliberately awakens his brother earlier than usual, the serious expression on his weathered face reflecting a night of contemplation about whether their cricket journey should advance to the next level of intensity and commitment. Yesterday's honest conversation about hopes, fears, and expectations has crystallized his understanding that half-measures will no longer suffice - either Raju possesses the genuine dedication that serious cricket demands, or their morning practice sessions should return to casual play that avoids raising dangerous expectations about impossible dreams."	Hut Interior																	
Story 12	Ramu	Light Background Music 3	61	Day 6	Ramu	Ramu Serious	"Wake up, little brother. If you want to play cricket seriously, if you want me to consider that tournament, you need to show me something today."	RamuSerious																	
Story 12	Ramu	Light Background Music 3	62	Day 6	Raju	Raju Excited	"Show you what, bhaiya? I'll do anything."	RajuExcited																	
Story 12	Ramu	Light Background Music 3	63	Day 6	Ramu	Ramu Serious	"I mean proper cricket training. Not the gentle practice we've been doing. Real training - the kind that hurts, the kind that tests everything you think you know about wanting something."	RamuSerious																	
Story 12	Ramu	Light Background Music 3	64	Day 6	Raju	Raju Excited	"I'm ready, bhaiya. I've been ready for days."	RajuExcited																	
Story 12	Ramu	Light Background Music 3	65	Day 6	Ramu	Ramu Serious	"This isn't a game. For the next two hours, you'll face deliveries at different speeds, different angles. You'll run suicides between wickets until your legs shake. You'll practice defensive shots until your hands blister. And you'll do it all without complaining."	RamuSerious																	
Story 12	Ramu	Light Background Music 3	66	Day 6	Raju	Raju Excited	And if I do well?	RajuExcited																	
Story 12	Ramu	Light Background Music 3	67	Day 6	Ramu	Ramu Serious	"If you do well, if you show me the dedication that tournament play requires, then maybe - maybe I'll believe you're serious about this dream."	RamuSerious																	
Story 12	Ramu	Light Background Music 3	68	Day 6	Ramu	Ramu Serious	Tired yet?	RamuSerious																	
Story 12	Ramu	Light Background Music 3	69	Day 6	Raju	Raju Excited	"No, bhaiya. Keep going."	RajuExcited																	
Story 12	Ramu	Light Background Music 3	70	Day 6	Ramu	Ramu Serious	Your hands are red. Your form is getting sloppy.	RamuSerious																	
Story 12	Ramu	Light Background Music 3	71	Day 6	Raju	Raju Excited	Then show me how to do it better. Don't make it easier.	RajuExcited																	
Story 12	Ramu	Light Background Music 3	72	Day 6	Ramu	Ramu Smiling	...You didn't complain once. Not even when I made you repeat that difficult leg-side glance fifteen times. Not even when your hands started hurting.	RamuSmiling																	
Story 12	Ramu	Light Background Music 3	73	Day 6	Raju	Raju Excited	"Because I want this, bhaiya. I really want to play cricket. Not just for fun, but for real. Like those players you talked to yesterday."	RajuExcited																	
Story 12	Ramu	Light Background Music 3	74	Day 6	Ramu	Ramu Serious	"Want is not enough. Cricket requires dedication every single day, even when you don't feel like it, even when it hurts, even when you fail."	RamuSerious																	
Story 12	Ramu	Light Background Music 3	75	Day 6	Raju	Raju Excited	Then I'll be dedicated. Every single day. You'll see.	RajuExcited																	
Story 12	Ramu	Light Background Music 3	76	Day 6	Ramu	Ramu Smiling	I think... I think you might actually mean that.	RamuSmiling																	
Story 12	Ramu	Light Background Music 3	77	Day 6	Raju	Raju Excited	I do mean it. So what happens now?	RajuExcited																	
Story 12	Ramu	Light Background Music 3	78	Day 6	Ramu	Ramu Smiling	Now we find out if you're serious about that tournament.	RamuSmiling																	
Story 12	Ramu	Light Background Music 3	78.1	Day 6	No character - Dialog Setup	Not Applicable	"As the grueling training session concludes with Raju having demonstrated remarkable endurance and dedication despite physical discomfort and mental fatigue, both brothers understand that they have crossed a significant threshold from casual practice to serious athletic development. The transformation from gentle encouragement to demanding evaluation has revealed depths of commitment that surprise even Ramu, while Raju's consistent performance under pressure provides concrete evidence that his cricket ambitions might possess the foundation necessary for sustained pursuit of competitive excellence."	Hut Interior																	
Story 12	Ramu	Light Background Music 3	79	Day 7	No character - Dialog Setup	Not Applicable	"After six consecutive days of consistent practice and improvement, Raju chooses to join his elder brother for another morning session, despite knowing that today's practice will likely draw attention from their neighbors who have started timing their morning routines to catch glimpses of the brothers' training."	Not Applicable																	
Story 12	Ramu	Light Background Music 3	79.1	Day 7	No character - Dialog Setup	Not Applicable	"The narrow courtyard that serves as their practice ground has become an unexpected source of neighborhood entertainment as curious residents begin timing their morning activities to witness the intense training sessions that have transformed Raju from casual cricket enthusiast into serious athlete, while the growing audience creates additional pressure and motivation that mirrors the public scrutiny that accompanies competitive sports. The community interest reflects recognition that something exceptional is developing in their midst, transforming private family effort into a shared investment in local talent that carries both support and expectations for future success."	Hut Interior																	
Story 12	Ramu	Light Background Music 3	80	Day 7	Ramu	Ramu Smiling	"Ready for today's session, champ? Word's gotten around the neighborhood about your batting yesterday. Mrs. Sharma asked me if you're really serious about this tournament."	RamuSmiling																	
Story 12	Ramu	Light Background Music 3	81	Day 7	Raju	Raju Excited	"What did you tell her, bhai?"	RajuExcited																	
Story 12	Ramu	Light Background Music 3	82	Day 7	Ramu	Ramu Smiling	I told her to watch this morning's practice and decide for herself.	RamuSmiling																	
Story 12	Ramu	Light Background Music 3	83	Day 7	Ramu	Ramu Excited	"Six days ago, I thought this was just another childhood phase. But watching you practice every single morning, seeing how you listen to every suggestion, how you practice the same shot fifty times until you get it right..."	RamuExcited																	
Story 12	Ramu	Light Background Music 3	84	Day 7	Ramu	Ramu Excited	"These people have seen you grow up. They've watched a hundred kids play cricket in these lanes. But they're gathering to watch you practice. That means something, Raju. That means you're not just playing anymore - you're performing."	RamuExcited																	
Story 12	Ramu	Light Background Music 3	85	Day 7	Raju	Raju Excited	It feels different today. Like I'm not just hitting balls - like I'm proving something.	RajuExcited																	
Story 12	Ramu	Light Background Music 3	86	Day 7	Mrs. Sharma	Mrs. Sharma Excited	"Ramu beta, is your little brother going to play in that big tournament? The whole building is talking about his cricket!"	MrsSharmaExcited																	
Story 12	Ramu	Light Background Music 3	87	Day 7	Ramu	Ramu Excited	"Sharma aunty, come down and see for yourself! Six days of sunrise practice - he hasn't missed a single morning!"	RamuExcited																	
Story 12	Ramu	Light Background Music 3	88	Day 7	Raju	Raju Serious	"Bhai, I won't let you down. Not after everything you've taught me this week."	RajuSerious																	
Story 12	Ramu	Light Background Music 3	89	Day 7	Ramu	Ramu Smiling	"You've already made me proud, little brother. Now let's show them what six days of real practice looks like."	RamuSmiling																	
Story 12	Ramu	Light Background Music 3	89.1	Day 7	No character - Dialog Setup	Not Applicable	"As the seventh day's practice session unfolds before an appreciative neighborhood audience, both brothers understand that their private journey toward cricket excellence has evolved into a community celebration of dedication and talent that validates their efforts while creating additional motivation to continue pursuing dreams that now represent more than individual ambition. The public recognition transforms their morning routine into performance art that demonstrates how consistent effort and family support can elevate natural ability into something approaching professional competence, inspiring others while creating accountability for sustained excellence."	Hut Interior																	
Story 12	Ramu	Light Background Music 3	90	Day 8	No character - Dialog Setup	Not Applicable	"For the eighth consecutive morning, Raju chooses to meet his elder brother for practice, but today carries special weight. After a week of consistent training and growing community recognition, today is the day when Ramu will either commit to helping with tournament registration or suggest waiting another year."	Not Applicable																	
Story 12	Ramu	Light Background Music 3	90.1	Day 8	No character - Dialog Setup	Not Applicable	"The familiar pre-dawn atmosphere carries unprecedented significance as both brothers prepare for what they understand will be a decisive practice session that determines whether a week of intensive training culminates in tournament registration or represents the conclusion of an experiment in serious cricket development. The accumulated evidence of dedication, improvement, and community support has created momentum that pushes toward a commitment that once seemed premature and risky, while the financial and emotional investment required for tournament participation forces final evaluation of whether dreams have sufficient foundation to justify the leap from practice to competition."	Hut Interior																	
Story 12	Ramu	Light Background Music 3	91	Day 8	Ramu	Ramu Serious	"Seven days ago, when you first asked me to help with cricket, I thought it was just another kid's fantasy. But I've watched you choose to wake up early every single morning, choose to practice when other kids are still sleeping, choose to listen and improve instead of just playing around."	RamuSerious																	
Story 12	Ramu	Light Background Music 3	92	Day 8	Raju	Raju Serious	"I meant everything I said, bhai. Cricket isn't just play for me - it's my dream. And you've helped me understand what it takes to chase dreams properly."	RajuSerious																	
Story 12	Ramu	Light Background Music 3	93	Day 8	Ramu	Ramu Serious	The tournament registration closes tomorrow. The entry fee is fifty rupees - money our family doesn't have to waste on uncertain dreams.	RamuSerious																	
Story 12	Ramu	Light Background Music 3	94	Day 8	Ramu	Ramu Smiling	"But after seven days of watching you prove your commitment, after seeing our neighbors stop their morning routines to watch you practice, after witnessing how seriously you take every piece of advice... I'm convinced this isn't uncertain anymore."	RamuSmiling																	
Story 12	Ramu	Light Background Music 3	95	Day 8	Raju	Raju Excited	You really think I'm ready?	RajuExcited																	
Story 12	Ramu	Light Background Music 3	96	Day 8	Ramu	Ramu Smiling	"I think you've been ready for a week. The question was whether I was ready to believe in you. Seven mornings of watching you choose cricket over sleep, improvement over comfort, discipline over fun... you've answered every doubt I had."	RamuSmiling																	
Story 12	Ramu	Light Background Music 3	97	Day 8	Ramu	Ramu Excited	"I'll find the fifty rupees. I'll register you tomorrow morning. And I'll be there cheering when you play, knowing that every shot you make comes from the dedication you've shown me this week."	RamuExcited																	
Story 12	Ramu	Light Background Music 3	98	Day 8	Raju	Raju Excited	"Thank you, bhai. For believing in me. For teaching me. For giving me this chance."	RajuExcited																	
Story 12	Ramu	Light Background Music 3	99	Day 8	Ramu	Ramu Smiling	"You earned this chance, Raju. Every morning for seven days, you chose to earn it."	RamuSmiling																	
Story 12	Ramu	Light Background Music 3	100	Day 8	Ramu	Ramu Smiling	"And since you're going to be playing in a real tournament, you'll need proper equipment."	RamuSmiling																	
Story 12	Ramu	Light Background Music 3	101	Day 8	Raju	Raju Excited	You made this? For me?	RajuExcited																	
Story 12	Ramu	Light Background Music 3	102	Day 8	Ramu	Ramu Smiling	"Every night for the past week, after you went to sleep, I worked on it. Each day you showed me more dedication, and each night I put more love into this bat. It's not fancy like the ones in the shops, but it's made for your hands, by someone who believes in your dreams."	RamuSmiling																	
Story 12	Ramu	Light Background Music 3	103	Day 8	Raju	Raju Excited	"It's perfect, bhai. It's the most beautiful bat in the world because you made it for me."	RajuExcited																	
Story 12	Ramu	Light Background Music 3	104	Day 8	Ramu	Ramu Smiling	"Now go show them what my little champion can do. And remember - no matter what happens in that tournament, I'm already proud of you. You've already won the only victory that matters."	RamuSmiling																	
Story 12	Ramu	Light Background Music 3	104.1	Day 8	No character - Dialog Setup	Not Applicable	"As the eighth morning concludes with Ramu's commitment to tournament registration and the presentation of a handcrafted bat that represents both practical support and emotional investment in his brother's dreams, both participants understand that they have successfully completed a transformation from skeptical evaluation to wholehearted partnership in pursuing cricket excellence. The combination of proven dedication, community recognition, and family support has created conditions that justify taking the next step from private practice to public competition, while the custom equipment symbolizes the kind of personal investment that turns individual dreams into shared family projects worthy of significant sacrifice and support."	Hut Interior																	
Story 12	Ramu	Light Background Music 3	105	Not Applicable	Not Applicable	Not Applicable	If the user finishes the entire story arc then give him one  Courage(as per the Reward System). If he doestn complete the story then don't give him the reward	Not Applicable																	
Story 13	Fatima	Light Background Music 3	1	Day 1	No character - Dialog Setup	Not Applicable	"After hearing his mother mention the struggles of local business owners, Raju chooses to visit Fatima's dhaba during the lunch rush to see if the friendly restaurant owner might need any assistance with her growing customer demands."	Fatima Dhaba																	
Story 13	Fatima	Light Background Music 3	1.1	Day 1	No character - Dialog Setup	Not Applicable	"The aromatic scents of fresh spices and sizzling oil fill the air as Raju approaches Fatima's small dhaba, where the lunch rush has created a chaotic scene of hungry customers, steaming pots, and the sound of orders being called out faster than they can be fulfilled. Fatima moves between her cooking station and serving counter with practiced efficiency, but the sweat on her brow and the growing line of impatient customers suggest that even her years of experience are being tested by today's unexpectedly heavy demand."	Fatima Dhaba																	
Story 13	Fatima	Light Background Music 3	2	Day 1	Fatima	Fatima Sad	"Arre beta, perfect timing, but also terrible timing! I'm drowning in orders and my usual helper couldn't come today. Every pot needs stirring, every plate needs serving, and these customers are getting restless."	FatimaSad																	
Story 13	Fatima	Light Background Music 3	3	Day 1	Raju	Raju Excited	"Fatima aunty, you look completely overwhelmed! Is there anything I can do to help? I have some free time and I'd love to learn about running a dhaba."	RajuExcited																	
Story 13	Fatima	Light Background Music 3	4	Day 1	Fatima	Fatima Serious	"Help? Beta, this isn't child's play. Running a dhaba means handling hot oil, sharp knives, impatient customers, and money all at the same time. One mistake and someone gets burned, orders get mixed up, or I lose customers forever."	FatimaSerious																	
Story 13	Fatima	Light Background Music 3	5	Day 1	Raju	Raju Serious	"I understand it's serious work, aunty. But I'm careful and I learn quickly. Maybe I could start with something simple, just to help reduce your stress a little?"	RajuSerious																	
Story 13	Fatima	Light Background Music 3	6	Day 1	Fatima	Fatima Serious	"Simple? Child, there's nothing simple about feeding hungry people! Every dal has to be perfectly spiced, every roti has to be fresh and hot, every customer has to leave satisfied or they won't come back. This business feeds my family - it can't afford mistakes."	FatimaSerious																	
Story 13	Fatima	Light Background Music 3	7	Day 1	Raju	Raju Excited	That's exactly why I want to help! You work so hard to take care of everyone in the neighborhood. Surely there's some small way I could assist without getting in your way?	RajuExcited																	
Story 13	Fatima	Light Background Music 3	8	Day 1	Fatima	Fatima Quizzical	"You really want to help? Even knowing how hot and chaotic it gets here? Most children run away when they see the reality of restaurant work - the heat, the pressure, the constant demands."	FatimaQuizzical																	
Story 13	Fatima	Light Background Music 3	9	Day 1	Raju	Raju Excited	"I'm not afraid of hard work, aunty. My mother taught me that honest labor is something to be proud of, not to run away from."	RajuExcited																	
Story 13	Fatima	Light Background Music 3	9.1	Day 1	No character - Dialog Setup	Not Applicable	"As Raju leaves the dhaba with the sounds and smells of busy restaurant service still filling his senses, he carries both admiration for Fatima's skill under pressure and determination to prove that his offer of help represents genuine commitment rather than casual curiosity. The complexity of managing food preparation, customer service, and business operations simultaneously has opened his eyes to the sophisticated multitasking that successful restaurant ownership requires, while Fatima's initial skepticism about his capabilities has only strengthened his resolve to demonstrate reliability and usefulness."	Fatima Dhaba																	
Story 13	Fatima	Light Background Music 3	10	Day 2	No character - Dialog Setup	Not Applicable	"Despite yesterday's chaotic introduction to dhaba life, Raju chooses to return during the morning preparation time, hoping to observe how Fatima organizes her kitchen and ingredients before the lunch rush begins."	Not Applicable																	
Story 13	Fatima	Light Background Music 3	10.1	Day 2	No character - Dialog Setup	Not Applicable	"The dhaba carries a completely different energy in the morning as Raju arrives to find Fatima methodically preparing ingredients for the day ahead, her movements calm and deliberate as she chops vegetables, measures spices, and arranges her cooking station with the precision of someone who has learned that organization prevents chaos during peak hours. The peaceful atmosphere contrasts sharply with yesterday's frenzied lunch service, revealing the careful planning and systematic preparation that makes successful restaurant service possible."	Fatima Dhaba																	
Story 13	Fatima	Light Background Music 3	11	Day 2	Fatima	Fatima Smiling	"Back again, beta? I thought yesterday's madness might have scared you away from restaurant life forever. Most people don't realize how much work happens before the first customer even arrives."	FatimaSmiling																	
Story 13	Fatima	Light Background Music 3	12	Day 2	Raju	Raju Excited	"Actually, aunty, watching you work yesterday made me more interested, not less. I've never seen anyone handle so many different tasks at once while staying calm under pressure."	RajuExcited																	
Story 13	Fatima	Light Background Music 3	13	Day 2	Fatima	Fatima Serious	"Calm? Ha! Inside I was panicking, beta. But customers can smell fear just like they can smell burnt food. If they see you stressed, they lose confidence in your cooking. That's the first rule of restaurant business - never let them see you sweat, even when you're drowning."	FatimaSerious																	
Story 13	Fatima	Light Background Music 3	14	Day 2	Raju	Raju Quizzical	"How did you learn to manage everything so well? Did someone teach you, or did you figure it out through experience?"	RajuQuizzical																	
Story 13	Fatima	Light Background Music 3	15	Day 2	Fatima	Fatima Sad	"My husband and I started this dhaba together fifteen years ago. He handled the business side while I focused on cooking. But after he passed away three years ago, I had to learn everything - money management, customer relations, inventory, supplier negotiations - all while maintaining food quality."	FatimaSad																	
Story 13	Fatima	Light Background Music 3	16	Day 2	Raju	Raju Serious	"I'm sorry about your husband, aunty. It must be incredibly difficult to run everything alone while also dealing with loss."	RajuSerious																	
Story 13	Fatima	Light Background Music 3	17	Day 2	Fatima	Fatima Serious	"Difficult, yes. But also necessary. This dhaba feeds my two children, pays their school fees, and provides for my mother-in-law. When you have people depending on you, you find strength you didn't know existed."	FatimaSerious																	
Story 13	Fatima	Light Background Music 3	18	Day 2	Raju	Raju Excited	"That's exactly why I want to help, aunty. Even small assistance could give you more time to focus on the important things instead of worrying about every tiny detail."	RajuExcited																	
Story 13	Fatima	Light Background Music 3	19	Day 2	Fatima	Fatima Quizzical	"You keep saying you want to help, but help means different things to different people. What exactly do you think you could contribute to a business like this?"	FatimaQuizzical																	
Story 13	Fatima	Light Background Music 3	19.1	Day 2	No character - Dialog Setup	Not Applicable	"As their second conversation concludes with Fatima's direct question about the nature of his potential contribution, Raju understands that his persistent offers of assistance have moved beyond polite rejection into serious consideration, creating both opportunity and responsibility to articulate a clear vision for how his involvement could genuinely benefit her struggling business. The revelation of her personal challenges and family responsibilities has transformed his motivation from casual helpfulness into genuine commitment to supporting someone whose success or failure affects multiple dependents."	Fatima Dhaba																	
Story 13	Fatima	Light Background Music 3	20	Day 3	No character - Dialog Setup	Not Applicable	"With Fatima's question about his potential contributions weighing on his mind, Raju chooses to return to the dhaba during the pre-lunch preparation period, ready to demonstrate rather than simply describe how he might assist her business."	Not Applicable																	
Story 13	Fatima	Light Background Music 3	20.1	Day 3	No character - Dialog Setup	Not Applicable	"The dhaba buzzes with anticipatory energy as Raju arrives during the crucial transition period between morning preparation and lunch service, when Fatima's efficiency and organization will determine whether the next few hours proceed smoothly or descend into chaos. Today feels different from previous visits because yesterday's honest conversation about her challenges and his persistent offers of help have created an atmosphere of mutual evaluation - she assessing his genuine capabilities while he prepares to prove that his desire to assist stems from understanding rather than naive enthusiasm."	Fatima Dhaba																	
Story 13	Fatima	Light Background Music 3	21	Day 3	Fatima	Fatima Serious	"Well beta, you've been asking to help for three days now. Today I'm busy enough to give you a real test. But first, tell me - how do you think you could best contribute to my dhaba?"	FatimaSerious																	
Story 13	Fatima	Light Background Music 3	22	Day 3	Raju	Raju Excited	"I've been watching and thinking, aunty. There are several ways I could help, but I want to focus on what would make the biggest difference for you."	RajuExcited																	
Story 13	Fatima	Light Background Music 3	23	Day 3	Fatima	Fatima Serious	Show me you understand this business beyond just wanting to help. What specific approach would you take?	FatimaSerious																	
Story 13	Fatima	Light Background Music 3	24a	Day 3	Raju	Raju Excited	"I want to learn proper cooking, aunty. Help me understand your recipes and techniques so I can assist with food preparation during busy times."	RajuExcited																	
Story 13	Fatima	Light Background Music 3	25a	Day 3	Fatima	Fatima Serious	"Cooking? Beta, this isn't home cooking where mistakes just mean dinner tastes bad. Restaurant cooking means consistent quality, proper timing, and safety standards. One undercooked dish could make customers sick."	FatimaSerious																	
Story 13	Fatima	Light Background Music 3	26a	Day 3	Raju	Raju Excited	"I understand the responsibility, aunty. But I'm willing to start with basic tasks and learn gradually. I want to understand the heart of your business - the food itself."	RajuExcited																	
Story 13	Fatima	Light Background Music 3	27a	Day 3	Fatima	Fatima Serious	Very well. But you start with vegetable preparation only. No cooking near heat until you prove you understand food safety and can follow instructions exactly.	FatimaSerious																	
Story 13	Fatima	Light Background Music 3	28a	Day 3	Raju	Raju Excited	"Thank you for the chance, aunty! I'll be the most careful and attentive assistant you've ever had."	RajuExcited																	
Story 13	Fatima	Light Background Music 3	28a.1	Day 3	No character - Dialog Setup	Not Applicable	"As Raju begins his introduction to restaurant food preparation under Fatima's watchful guidance, both understand that his choice to focus on cooking skills represents a commitment to understanding the technical foundation of her business rather than seeking easier supportive roles. The decision to start with basic vegetable preparation reflects both his respect for the complexity of professional cooking and Fatima's willingness to invest in teaching someone who demonstrates genuine interest in mastering the craft rather than simply helping with immediate tasks."	Fatima Dhaba																	
Story 13	Fatima	Light Background Music 3	24b	Day 3	Raju	Raju Excited	"Let me focus on customer service, aunty. I can help take orders, serve food, and make sure customers feel welcomed and satisfied."	RajuExcited																	
Story 13	Fatima	Light Background Music 3	25b	Day 3	Fatima	Fatima Serious	"Customer service? Beta, handling customers means dealing with complaints, managing expectations, and representing my business. If you're rude or make mistakes, customers blame me, not you."	FatimaSerious																	
Story 13	Fatima	Light Background Music 3	26b	Day 3	Raju	Raju Excited	"I understand the responsibility, aunty. But I'm polite, I learn quickly, and I want customers to have such good experiences that they become regular visitors."	RajuExcited																	
Story 13	Fatima	Light Background Music 3	27b	Day 3	Fatima	Fatima Serious	"Customer relations can make or break a small business. Very well - you can help with serving and basic customer interaction, but any problems come to me immediately."	FatimaSerious																	
Story 13	Fatima	Light Background Music 3	28b	Day 3	Raju	Raju Excited	"I won't let you down, aunty! Every customer will leave here feeling valued and satisfied with their experience."	RajuExcited																	
Story 13	Fatima	Light Background Music 3	28b.1	Day 3	No character - Dialog Setup	Not Applicable	"As Raju prepares to take on customer service responsibilities that will put him in direct contact with the people whose satisfaction determines Fatima's business success, both recognize that his choice represents a desire to understand the human side of restaurant operations while taking on the significant responsibility of representing her establishment's values and quality standards. The decision to trust him with customer interactions reflects Fatima's growing confidence in his maturity and genuine commitment to her business's welfare."	Fatima Dhaba																	
Story 13	Fatima	Light Background Music 3	24c	Day 3	Raju	Raju Excited	"I want to help with organization and efficiency, aunty. Let me observe your operations and suggest ways to make everything run more smoothly."	RajuExcited																	
Story 13	Fatima	Light Background Music 3	25c	Day 3	Fatima	Fatima Quizzical	"Organization? Beta, I've been running this dhaba for fifteen years. You think a young boy can spot problems that I haven't already considered?"	FatimaQuizzical																	
Story 13	Fatima	Light Background Music 3	26c	Day 3	Raju	Raju Excited	"Not problems, aunty - opportunities! Sometimes a fresh perspective can see possibilities that experience might overlook. Let me study your workflow and suggest small improvements."	RajuExcited																	
Story 13	Fatima	Light Background Music 3	27c	Day 3	Fatima	Fatima Serious	"Interesting approach. Very well - observe everything, take notes, and we'll discuss your ideas. But remember, any changes must be practical and cost-effective."	FatimaSerious																	
Story 13	Fatima	Light Background Music 3	28c	Day 3	Raju	Raju Excited	"I'll approach this scientifically, aunty! Every suggestion will be based on careful observation and practical benefit to your business."	RajuExcited																	
